Gender,Year of Birth,Stars (1-5),Score (1-100)
Female,1985,4,82
Male,1992,3,65
Non-binary,2001,5,94
Female,1978,2,41
Male,1999,5,88
Other,1982,4,76
Female,2005,1,12
Male,1965,3,59
Non-binary,1990,4,81
Female,1994,5,97
Male,1988,2,34
Other,2000,4,72
Female,1972,3,55
Male,2003,5,91
Non-binary,1981,1,18
Female,1997,4,84
Male,1969,2,45
Other,1993,3,61
Female,1984,5,99
Male,2002,4,79
Non-binary,1975,2,38
Female,1991,3,66
Male,1980,4,74
Other,1998,5,89
Female,2004,1,15
Male,1973,3,52
Non-binary,1989,4,80
Female,1967,2,42
Male,1995,5,95
Other,1983,3,63
Female,1996,4,77
Male,1971,1,21
Non-binary,2002,5,92
Female,1987,2,39
Male,1979,3,58
Other,1994,4,83
Female,1962,5,100
Male,2001,1,14
Non-binary,1986,3,60
Female,1990,4,78
Male,1977,2,46
Other,2003,5,87
Female,1982,3,54
Male,1993,4,85
Non-binary,1968,2,31
Female,1999,5,96
Male,1984,1,19
Other,1974,3,57
Female,2000,4,81
Male,1991,2,43
Non-binary,1985,5,93
Female,1976,3,51
Male,2004,4,75
Other,1963,1,11
Female,1992,4,86
Male,1981,2,33
Non-binary,1998,5,98
Female,1970,3,62
Male,2005,4,80
Other,1989,2,37
Female,1995,5,91
Male,1974,1,23
Non-binary,1983,4,73
Female,2001,3,64
Male,1966,5,89
Other,1997,2,40
Female,1988,4,82
Male,1979,3,56
Non-binary,1994,5,95
Female,1964,1,17
Male,2002,4,84
Other,1986,2,35
Female,1993,3,67
Male,1972,5,90
Non-binary,2000,4,78
Female,1981,2,44
Male,1996,3,59
Other,1965,5,97
Female,2003,4,83
Male,1987,1,13
Non-binary,1978,3,53
Female,1991,4,76
Male,1961,5,100
Other,1999,2,47
Female,1984,3,61
Male,2004,5,92
Non-binary,1973,4,85
Female,1998,1,20
Male,1982,3,58
Other,1968,4,71
Female,1990,5,94
Male,1975,2,32
Non-binary,2002,3,65
Female,1989,4,79
Male,1960,1,10
Other,1997,5,99
Female,1976,2,48
Male,1994,3,62
Non-binary,1983,4,87
Female,2005,5,96
